ID,area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ann_mm,regime
08BB005,16700,10.21641193,7.961801629,10.58041218,18.78980683,93.53829107,154.575246,144.8818454,119.220528,83.38803437,51.79649428,22.57664457,15.41137069,732.936886949,Icefield
08CA001,3400,6.199183007,4.595361896,4.766501634,6.497425155,78.88900851,175.0144538,124.9169748,55.27294786,42.93136143,37.56512271,13.58621854,8.765007811,558.999567153,Icefield
08CA002,7690,6.782493593,5.230499377,5.40672255,7.090321359,78.67768902,166.3155861,113.1714806,52.3215961,44.47521464,38.49422551,13.47281442,8.966146701,540.40478997,Icefield
08CA003,2730,7.530915125,5.661046187,5.630853574,7.254480395,73.98186505,157.2697017,102.1744427,49.3142358,48.33381494,43.23142267,18.81946612,11.33239306,530.534637321,Icefield
08CB001,18800,7.654335334,5.749092796,5.800350646,7.831148944,72.38396353,151.8368389,109.1916109,54.4329848,45.16303951,39.22960486,15.4318541,10.19155619,524.89638051,Icefield
08CC001,3550,9.696468174,7.594118891,8.054061981,11.51675492,71.49944818,167.2509296,154.8693634,87.13225029,58.7471321,44.4538946,19.35846769,12.98709638,653.159986206,Icefield
08CD001,3550,5.842432906,4.739920238,4.983081467,8.102372908,90.89961488,90.59537278,32.66893536,18.92258163,24.9781185,24.09805513,10.46462196,7.703480739,323.998588498,Nival
08CE001,29000,7.275704274,5.728657631,5.822287486,8.338791706,67.55417379,128.2116414,88.93519448,46.07155862,39.27326897,32.10077793,13.67443863,9.742603077,452.72909799400003,Icefield
08CF001,36000,9.045551985,6.999983993,7.402800019,12.01782859,79.5708,148.32,117.3394286,74.78794286,54.42685714,43.64622857,18.936,12.40248002,584.895901777,Icefield
08CF003,50900,16.02011788,11.91757957,15.54653045,24.94491159,104.5731709,197.1489194,199.199057,154.0815717,116.0675835,79.99579749,32.70456098,22.84958138,975.04938184,Icefield
08CG001,9500,24.67323278,19.22290867,20.52124304,41.09365886,154.81152,290.4131368,328.8699284,263.2162358,191.5169684,123.6387032,55.61158734,31.96787872,1545.55700201,Icefield
08CG003,1250,10.88635672,8.195904044,8.107516827,8.77824,31.99080978,98.78630379,104.5361663,64.16732225,44.20915242,37.78329573,21.71750366,14.35908103,453.517652551,Icefield
08CG004,7230,15.88270204,13.5440464,15.37394186,31.85839978,138.3125548,270.4417309,304.250575,213.6475163,148.037463,94.83684647,37.43573201,19.05204505,1302.67355361,Icefield
08CG005,844,22.10843622,17.18738971,19.6289061,36.83333834,170.2107781,363.2441439,454.9381178,351.8913459,221.2720356,134.4186861,53.581746,28.01031533,1873.3252391,Icefield
08CG006,311,16.28939628,11.505447910000001,12.29394206,22.69934758,156.9761387,453.8678902,819.8832126,767.21619,483.0108308,218.081249,60.44367068,23.28611418,3045.55342999,Icefield
08DA005,218,17.71061285,13.51048933,15.88979238,61.12205506,312.0704587,555.4172453,520.0355234,358.7581663,233.9735778,149.4375204,52.41864248,24.55609523,2314.90017923,Icefield
08DB001,18400,22.02304693,18.98658787,22.78338265,55.2866087,201.1468696,295.0747826,234.4085217,158.8844348,125.5805217,108.9992348,53.136,28.13484519,1324.44483654,Icefield
08DB010,39.40000153,42.55103919,40.77863278,47.14816583,121.7625946,308.9450453,268.786065,124.8107157,58.9791816,123.7402705,179.1264902,96.00486814,47.06007481,1459.69314365,Nival
08DB011,242,58.62965971,60.50213466,63.03463154,139.2702712,414.8041549,565.1702479,489.7118711,357.3413534,339.3163601,263.7818203,134.2556031,85.19968196,2971.01778987,Icefield
08DB013,26,40.18335843,22.81909427,30.91197388,68.11832956,175.6633048,243.2492305,171.6898559,91.74255908,117.5087471,141.9478405,76.05098885,48.75571045,1228.64099332,Icefield
08DB014,18,29.65371443,16.75851435,19.21645697,47.98285698,185.9893735,234.9154297,119.8583995,60.05142768,79.3645721,119.7627432,67.04228548,41.92971397,1022.52548786,Icefield
08DC006,350,30.7512541,27.95267375,32.1126068,68.51931505,200.157258,356.3794305,494.3561107,482.4521123,333.8742841,197.9039992,72.80228583,38.92608008,2336.18741041,Icefield
08DD001,1480,47.1321482,38.34401344,35.35646342,70.38097322,227.9535569,374.6724324,455.6899459,391.9874595,290.8644321,206.1402814,87.90616123,53.90581635,2280.33368406,Icefield
08EB004,1880,13.1493294,10.67870293,16.95465212,62.21719202,150.0901278,166.1453616,95.43936934,48.67184661,54.35846801,68.30869776,39.37680006,19.1700306,744.56057825,Nival
08EB005,12400,11.26319998,9.244838618,11.01600011,29.29279695,177.5647059,265.3357116,154.4018824,70.00941176,65.99271347,69.61552941,30.22237568,14.12512923,908.084295108,Nival
08EC013,6760,9.221197643,7.985140787,8.430092323,11.05689944,34.29884044,47.41902966,37.06704865,23.58127806,15.70409464,13.08955733,11.40198817,10.07701773,229.332184873,Icefield
08ED001,732,32.58963944,23.58322638,21.75222158,31.83588451,180.7680282,309.0546097,217.9432138,118.9668196,83.64983571,97.04321225,78.46465506,44.79489836,1240.44624459,Icefield
08ED002,1900,38.5313682,28.00663587,24.54260225,26.38837891,120.8804203,269.2042105,226.1603368,150.0890771,103.629979,104.3542229,82.76210518,53.43173077,1227.98106778,Icefield
08EE004,7340,13.73257773,10.30635859,11.4105679,32.98031609,112.6582234,129.7294823,82.27383106,47.77817984,33.52767306,37.16432041,31.25467029,18.53593901,561.35213968,Nival
08EE008,125,4.995394589,3.563873291,4.583278088,29.39189749,106.4789,109.4929927,67.72423658,35.87413265,25.50320633,28.05106182,15.60176638,7.153827831,438.414567749,Nival
08EE012,13.19999981,4.274618245,3.227345516,7.521163743,25.29028283,121.1434927,193.765094,119.3376016,53.84787525,42.01504782,36.12481561,19.05381867,7.690254651,633.291410635,Nival
08EE013,565,2.622777751,1.99824084,3.489504817,32.22781156,103.2171612,48.00169924,14.55611641,4.49353293,4.244172639,8.228090548,8.788026852,4.279277293,236.14641208,Nival
08EE020,367,19.78756177,14.42919237,15.77604354,36.73059425,192.1101246,296.1848493,226.8733734,151.216479,108.0117705,90.65447437,47.03032147,24.91568848,1223.72047305,Icefield
08EE028,10.80000019,11.22763616,7.980363613,9.17599983,18.04800005,112.071199,199.6363596,175.1330866,103.3483616,76.90908806,61.86472641,26.81454535,15.64654514,817.855911413,Icefield
08EF001,42300,12.37889362,9.856830641,12.14461277,32.05991489,128.0524255,175.1080851,106.2453106,55.33882553,47.35659574,50.38515745,29.59659574,15.82978723,674.353034811,Nival
08EF005,2850,27.51077043,20.42495987,23.2096676,55.88715813,199.7365895,253.9553684,172.9839158,107.502518,92.07814723,102.0110145,64.64842094,34.77847584,1154.72700624,Icefield
08EG011,376,56.86376159,49.48866399,58.67310636,126.3691912,300.8620694,375.0620008,295.417751,182.3082651,170.8139825,191.1616412,117.3835255,64.47698554,1988.88094418,Icefield
08EG012,370,116.7878924,82.40606273,103.2631776,212.9876751,446.7378166,549.1770836,527.5482818,436.2655163,449.4434605,429.2437588,220.5651888,121.4569939,3695.88290813,Icefield
08EG017,12.5,116.0878086,76.29503975,84.78028793,140.7859192,194.582786,159.8976003,81.34003179,51.07236199,91.21400489,175.211477,161.9237639,110.2492467,1443.44032805,Nival Dominant Hybrid
08FA002,3900,118.15406780000001,86.00861542,83.21582774,111.9478153,235.6534154,359.6012308,386.3763692,321.4537846,248.1895385,250.9225846,209.5753846,117.1101786,2528.20881256,Icefield
08FB004,159,86.24784824,63.83687669,66.19034451,101.8976606,222.2398191,268.2503567,206.7497092,130.2488912,119.3822109,169.866631,157.4995151,93.29963298,1685.70949622,Icefield
08FB005,269,72.62919616,52.37156867,53.26929451,75.73650625,206.6383948,302.817545,311.2235331,239.1072961,184.8675501,153.9048736,122.5659465,73.14322022,1848.27492501,Icefield
08FB006,2550,11.4726551,9.586661688,10.08723955,17.45686599,67.95433424,82.52724734,45.70085671,23.69946352,15.04411525,14.94941977,16.31996116,12.27753929,327.076359608,Nival
08FB007,3720,18.71255165,14.3608363,15.0206897,24.11559519,87.48,138.2632258,146.856,125.904,78.03870949,49.34482778,32.46006702,19.69572405,750.25222698,Icefield
08FB009,92.5,124.8894482,91.65872354,91.42754656,122.9962368,245.35109310000001,300.0368426,266.6431647,185.5286653,174.4065746,215.8356073,189.500887,119.2587757,2127.5335654,Icefield
08FC003,3720,3.21887998,2.83036646,3.991919992,13.05081297,36.24000005,32.96903239,13.98671992,5.227440033,4.663045133,5.715839996,5.159148345,3.671039989,130.724245258,Nival
08FE003,556,63.43054971,47.76801137,55.85298984,113.2772371,321.1029054,473.3974091,464.7377255,324.5552795,265.3847508,259.0886316,139.3417555,73.21281118,2601.1500566,Icefield
