"ID","Mean Bias","Max Error","MAE","RMSE","r_pear","r_spear","nse","name","area"
"08CG004",-1.13,51.81,14.72,21.36,0.98,0.99,0.96,"ISKUT RIVER ABOVE SNIPPAKER CREEK",7373.29
"08CA002",-4.54,-39.85,11.5,18.34,0.94,0.96,0.86,"STIKINE RIVER BELOW SPATSIZI RIVER",7583.27
"08CG001",12.33,85.64,21.16,32.07,0.98,0.99,0.92,"ISKUT RIVER BELOW JOHNSON RIVER",9498.52
"08EB005",-33.19,-157.23,33.19,54.85,0.94,0.97,0.51,"SKEENA RIVER ABOVE BABINE RIVER",12588.9
"08BB005",9.98,48.87,15.19,21.17,0.97,0.95,0.84,"TAKU RIVER NEAR JUNEAU",16854.6
"08DB001",-25.02,-118.84,26.52,42.3,0.95,0.98,0.78,"NASS RIVER ABOVE SHUMAL CREEK",18293.9
"08CB001",-8.27,-41.58,13.22,19.24,0.93,0.96,0.82,"STIKINE RIVER ABOVE GRAND CANYON",18536.6
"08CE001",-6.22,-33.86,10.93,15.71,0.92,0.97,0.83,"STIKINE RIVER AT TELEGRAPH CREEK",28947.9
"08CF001",-0.15,-26.95,9.69,13.1,0.96,0.99,0.92,"STIKINE RIVER ABOVE BUTTERFLY CREEK",33958.1
"08EF001",-16.51,-79.95,17.48,27.27,0.94,0.99,0.71,"SKEENA RIVER AT USK",42267.5
"08CF003",6.65,42.48,13.82,19.09,0.98,0.99,0.92,"STIKINE RIVER NEAR WRANGELL",50820
